EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:27:48	4	0.0000	0.040501677848289085	0.03622155264019966	0.9637	0.9637	0.9637	0.9637
2	21:33:23	4	0.0000	0.01964144259513189	0.03333432972431183	0.9665	0.9665	0.9665	0.9665
3	21:38:58	4	0.0000	0.007939627105616067	0.05262608453631401	0.9681	0.9681	0.9681	0.9681
4	21:44:34	4	0.0000	0.0029286713753449794	0.08230684697628021	0.9659	0.9659	0.9659	0.9659
5	21:50:10	4	0.0000	0.0007758039587756901	0.08695580810308456	0.9643	0.9643	0.9643	0.9643
