mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__loss,param_estimator__tol,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
2.1598185002803802,0.05552942983594508,0.2631588578224182,0.01472380011198349,0.1,hinge,10,0.1,l1,True,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.1, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.8373363688104722,0.8122786304604486,0.8218384142807464,0.8655479593950693,0.8085660198769523,0.8145789101203114,0.8574819290106809,0.8544912164401723,0.8340149310493566,0.02127640240823809,287
2.1732195615768433,0.05252993830005824,0.2574377954006195,0.020361780774111125,0.1,hinge,10,0.1,l1,False,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.1, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.8363346250284933,0.8070258723000237,0.8198815468586692,0.8655287260616152,0.8104852993269572,0.8099703264094955,0.8596604341285191,0.8524880860024383,0.8326718645145263,0.02248045634194023,294
2.1787430346012115,0.06504977423197693,0.25054609775543213,0.018089901798121373,0.1,hinge,10,0.1,l2,True,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.1, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.8796835512581035,0.8754683711703769,0.8755117848843642,0.8760167069685646,0.8707952773446201,0.866453965360073,0.88207343412527,0.8756865822217241,0.8752112091666371,0.004532011590052478,151
2.1776533722877502,0.03371489001127988,0.26031285524368286,0.015355327020305823,0.1,hinge,10,0.1,l2,False,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.1, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.8797099857189937,0.8753303964757709,0.8752076182039641,0.875713658322354,0.8705332294333742,0.8663930688554492,0.8819016747703945,0.8757422969187675,0.8750664910873835,0.004541827752681491,157
2.2624067962169647,0.0683849975975136,0.2758623957633972,0.0205921010919842,0.1,hinge,10,0.1,,True,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.1, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.8685354193828769,0.8644413437801868,0.8677800234017659,0.8648182112417736,0.863700032324103,0.8733671596674943,0.8698924731182796,0.8690861957226182,0.8677026073298872,0.0030510805211353027,208
2.3442378640174866,0.08385109914145372,0.2607468366622925,0.02888964338838585,0.1,hinge,10,0.1,,False,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.1, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.8681665036409086,0.8629430719656283,0.8646680942184153,0.8610021786492376,0.8625162127107653,0.8705371676614216,0.8694438479707967,0.8708767361111112,0.8662692266160356,0.003684022644137755,211
2.1337015628814697,0.03160116790739517,0.2472531497478485,0.008060366258102131,0.1,hinge,10,0.15,l1,True,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.15, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.8754448398576512,0.8725099601593626,0.8443032228778938,0.8754118616144975,0.8594199690059774,0.8685714285714287,0.8742653232577666,0.8744725738396625,0.86804989739803,0.010291442754872438,205
2.144532024860382,0.03557149207198266,0.24609020352363586,0.017707945871016588,0.1,hinge,10,0.15,l1,False,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.15, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.87557042896258,0.8728371899103605,0.8492903807163776,0.8739252045996063,0.8628439864049995,0.8684125444552214,0.8743180864456566,0.8750785998742401,0.8690345526711303,0.00847116264150512,202
2.116502106189728,0.025840082713024577,0.2452383041381836,0.006737183000175087,0.1,hinge,10,0.15,l2,True,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.15, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.8797364085667216,0.8771736737838434,0.8752930668750697,0.8827467069747355,0.8755072940660306,0.8747621712367096,0.8796366389099167,0.8709168731696327,0.8769716041978325,0.0034395176070884533,139
2.101147711277008,0.05532670316268441,0.2427935004234314,0.011836237595701864,0.1,hinge,10,0.15,l2,False,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.15, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.8800351223795412,0.8765948086229652,0.8745808182427901,0.8818319291423634,0.8751645458534445,0.8742447974938465,0.8792040661836271,0.8715988306723634,0.8766568648238677,0.0032137354463087613,141
2.179893881082535,0.078198498950246,0.2580394744873047,0.016638527287673045,0.1,hinge,10,0.15,,True,"{'estimator__C': 0.1, 'estimator__loss': 'hinge', 'estimator__tol': 10, 'vectorizer__max_df': 0.15, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.8701565029681597,0.8661836778180269,0.8746753246753247,0.867304179649726,0.8687802256851155,0.8684267946759764,0.8688701663426226,0.871310507674144,0.8694634224361371,0.0024588709636768936,200
