mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__algorithm,param_estimator__n_neighbors,param_estimator__weights,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.48609569668769836,0.022113830357336578,0.4813667833805084,0.05692674876531848,auto,5,uniform,0.25,l1,True,"{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.42530755711775037,0.38726114649681526,0.2480916030534351,0.25517241379310346,0.2160778289810548,0.21761076836791923,0.37485714285714283,0.4095238095238095,0.31673778377387884,0.08456449568152626,757
0.5164751410484314,0.022763405439883918,0.4399127960205078,0.05647336536729902,auto,5,uniform,0.25,l1,False,"{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.43727598566308246,0.39357429718875503,0.24638592080452543,0.2689655172413793,0.20983935742971888,0.21499448732083792,0.37284234752589185,0.41324921135646686,0.3196408905663322,0.08791942860140654,741
0.49161580204963684,0.01107079962763525,0.49096810817718506,0.011003795143091953,auto,5,uniform,0.25,l2,True,"{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4763458401305057,0.35658914728682173,0.31446540880503143,0.24806201550387597,0.3095785440613027,0.37277486910994767,0.4008438818565401,0.4417910447761194,0.36505634394126807,0.06983058523872873,625
0.5024260878562927,0.01158964407943519,0.4864175617694855,0.014922889725354648,auto,5,uniform,0.25,l2,False,"{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.4736,0.36633663366336633,0.3091190108191654,0.24031007751937986,0.318863456985004,0.36072144288577157,0.39029322548028317,0.432510885341074,0.3614693415867556,0.06865733524726249,653
0.48351818323135376,0.020062305304265855,0.5174930989742279,0.011010358361234733,auto,5,uniform,0.25,,True,"{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform', 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.3441558441558442,0.4216524216524216,0.16014625228519194,0.27067669172932335,0.4201183431952663,0.3782234957020057,0.32352941176470584,0.37125748502994016,0.3362199931893374,0.08127997002209833,721
0.5083281993865967,0.009410991571444538,0.5214753448963165,0.018845484163304702,auto,5,uniform,0.25,,False,"{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform', 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.3452768729641694,0.4035087719298246,0.1600292290829375,0.2740740740740741,0.40483383685800606,0.376068376068376,0.3259259259259259,0.36969696969696964,0.33242675707503544,0.07658526886006563,725
0.481407105922699,0.01904505551342078,0.48567670583724976,0.04232634207965816,auto,5,uniform,0.5,l1,True,"{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.2833706189410887,0.4099037138927098,0.2969283276450512,0.2573529411764706,0.2495297805642633,0.19184652278177458,0.3608695652173913,0.2645861601085482,0.28929845379091224,0.0637093462717021,821
0.4817274808883667,0.014898242491503285,0.4897209405899048,0.036839533700869426,auto,5,uniform,0.5,l1,False,"{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.2764227642276423,0.41256830601092903,0.330739299610895,0.26759670259987317,0.24812967581047385,0.21394358701436936,0.35625,0.25806451612903225,0.29546435642540186,0.061315470459838636,809
0.4615342617034912,0.012841568941825048,0.543624997138977,0.01607026338843461,auto,5,uniform,0.5,l2,True,"{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.40184757505773666,0.3921568627450981,0.3885209713024282,0.4204545454545454,0.3891779396462019,0.37185929648241206,0.3958573072497123,0.37796976241900654,0.3922305325446427,0.013890992246463278,437
0.48124340176582336,0.012256916958670826,0.5324013531208038,0.010473247752788038,auto,5,uniform,0.5,l2,False,"{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.390625,0.39054470709146966,0.38702702702702707,0.42044134727061555,0.3978835978835979,0.36471754212091184,0.3905723905723906,0.37796976241900654,0.3899726717981274,0.01492733895968837,517
