mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.6033680140972137,0.12493478283087854,0.07897788286209106,0.015550905293159443,0.25,l1,True,"{'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.456299659477866,0.46848989298454224,0.45593419506462984,0.4790419161676647,0.4569460390355912,0.46698113207547165,0.45688689809630467,0.4615384615384616,0.46276477430506646,0.0076963098163126175,4
0.6155805885791779,0.0485293148337374,0.07692080736160278,0.015276000090016994,0.25,l1,False,"{'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4564971751412429,0.47768395657418566,0.4564705882352941,0.48267622461170845,0.45747126436781604,0.4689331770222743,0.45842696629213486,0.4604810996563575,0.4648300564876267,0.009707770690915482,3
0.5859645009040833,0.2850880690398998,0.055028319358825684,0.01571765475460698,0.25,l2,True,"{'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4665127020785219,0.48920863309352514,0.4753901560624249,0.48292108362779734,0.46744186046511627,0.46720368239355575,0.46464646464646464,0.4716763005780347,0.47312511036818006,0.008252607864697283,1
0.405172735452652,0.011751880322915525,0.0480533242225647,0.003809267392440749,0.25,l2,False,"{'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.4670520231213873,0.4874551971326165,0.4753901560624249,0.4817861339600471,0.46744186046511627,0.46720368239355575,0.4641255605381166,0.4700460829493087,0.4725625870778216,0.007727232874152432,2
0.39711126685142517,0.01578261230273258,0.04556757211685181,0.0023570322026407768,0.25,,True,"{'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.4692218350754937,0.4729411764705882,0.4532710280373832,0.48009650180940894,0.4529616724738676,0.43841807909604524,0.4441939120631342,0.4454342984409799,0.4570673129333626,0.014187005294675658,12
0.3886057138442993,0.013752877666655373,0.045370668172836304,0.0013204047862504995,0.25,,False,"{'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.4692218350754937,0.4722550177095632,0.45433255269320844,0.4801920768307323,0.45634458672875433,0.43792325056433407,0.44394618834080724,0.4454342984409799,0.4574562257979842,0.01411528768716779,11
0.3849496841430664,0.008900630869882735,0.04541546106338501,0.0006712528357183195,0.5,l1,True,"{'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.4425162689804773,0.46436781609195404,0.4452054794520548,0.4652223489167616,0.44692737430167595,0.44224422442244227,0.45154185022026433,0.4446878422782038,0.45033915058297924,0.008777933436777784,22
0.384990394115448,0.012631889358699496,0.045428186655044556,0.0010190473686316236,0.5,l1,False,"{'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4420368364030336,0.4689655172413793,0.4446978335233752,0.4652223489167616,0.44816053511705684,0.443956043956044,0.4520396912899669,0.4437158469945354,0.45109933168026917,0.009726454960055765,19
0.38464275002479553,0.010096675134488978,0.04776042699813843,0.0053520078408233005,0.5,l2,True,"{'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.45132743362831856,0.48139534883720936,0.4595842956120092,0.4601571268237935,0.44640883977900553,0.45454545454545453,0.4557235421166307,0.4537444933920705,0.45786081684181146,0.009800855695157137,8
0.3936344385147095,0.008809443738802165,0.045089155435562134,0.0018403832308956376,0.5,l2,False,"{'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.45333333333333337,0.4819557625145518,0.4590542099192618,0.4618834080717489,0.4486187845303868,0.45404208194905865,0.4525862068965517,0.4537444933920705,0.45815228507587047,0.009764436987895588,5
0.39144763350486755,0.014520337898514089,0.04826468229293823,0.0064783504276174405,0.5,,True,"{'vectorizer__max_df': 0.5, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.46735395189003437,0.4707259953161592,0.4475201845444059,0.4757396449704142,0.44724770642201833,0.4328523862375138,0.44245810055865914,0.43811610076670315,0.45275175883823854,0.015159778231270895,13
0.3968440294265747,0.014869197925919325,0.0473121702671051,0.0027605508841297846,0.5,,False,"{'vectorizer__max_df': 0.5, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.46453089244851264,0.466588511137163,0.4454649827784156,0.4757396449704142,0.4459770114942529,0.43381535038932145,0.44222222222222224,0.43811610076670315,0.45155683952587566,0.014273574599202045,16
0.3942897319793701,0.009470914239252065,0.04675304889678955,0.0006158756748800956,0.75,l1,True,"{'vectorizer__max_df': 0.75, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.4425162689804773,0.46436781609195404,0.4452054794520548,0.4652223489167616,0.44692737430167595,0.44224422442244227,0.45154185022026433,0.4446878422782038,0.45033915058297924,0.008777933436777784,22
0.4016569256782532,0.011792003463987628,0.04722431302070618,0.0016945926411100736,0.75,l1,False,"{'vectorizer__max_df': 0.75, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4420368364030336,0.4689655172413793,0.4446978335233752,0.4652223489167616,0.44816053511705684,0.443956043956044,0.4520396912899669,0.4437158469945354,0.45109933168026917,0.009726454960055765,19
