mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.4068273603916168,0.012489830087736933,0.045606911182403564,0.001619531980923286,0.75,l2,True,"{'vectorizer__max_df': 0.75, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.45132743362831856,0.48139534883720936,0.4595842956120092,0.4601571268237935,0.44640883977900553,0.45454545454545453,0.4557235421166307,0.4537444933920705,0.45786081684181146,0.009800855695157137,8
0.39681488275527954,0.009683932167193975,0.05413833260536194,0.00852353058047016,0.75,l2,False,"{'vectorizer__max_df': 0.75, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.45333333333333337,0.4819557625145518,0.4590542099192618,0.4618834080717489,0.4486187845303868,0.45404208194905865,0.4525862068965517,0.4537444933920705,0.45815228507587047,0.009764436987895588,5
0.4021299481391907,0.01566756900961106,0.04790052771568298,0.0011948892812126488,0.75,,True,"{'vectorizer__max_df': 0.75, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.46735395189003437,0.4707259953161592,0.4475201845444059,0.4757396449704142,0.44724770642201833,0.4328523862375138,0.44245810055865914,0.43811610076670315,0.45275175883823854,0.015159778231270895,13
0.3951038718223572,0.010508793480570242,0.04721033573150635,0.00151284791019107,0.75,,False,"{'vectorizer__max_df': 0.75, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.46453089244851264,0.466588511137163,0.4454649827784156,0.4757396449704142,0.4459770114942529,0.43381535038932145,0.44222222222222224,0.43811610076670315,0.45155683952587566,0.014273574599202045,16
0.3981885313987732,0.012905345991367875,0.047721683979034424,0.005346617243219221,1.0,l1,True,"{'vectorizer__max_df': 1.0, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.4425162689804773,0.46436781609195404,0.4452054794520548,0.4652223489167616,0.44692737430167595,0.44224422442244227,0.45154185022026433,0.4446878422782038,0.45033915058297924,0.008777933436777784,22
0.3992612361907959,0.01655042961899169,0.04644042253494263,0.0020168386396408676,1.0,l1,False,"{'vectorizer__max_df': 1.0, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4420368364030336,0.4689655172413793,0.4446978335233752,0.4652223489167616,0.44816053511705684,0.443956043956044,0.4520396912899669,0.4437158469945354,0.45109933168026917,0.009726454960055765,19
0.3948003053665161,0.012533689022539493,0.046296656131744385,0.0009514372317960374,1.0,l2,True,"{'vectorizer__max_df': 1.0, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.45132743362831856,0.48139534883720936,0.4595842956120092,0.4601571268237935,0.44640883977900553,0.45454545454545453,0.4557235421166307,0.4537444933920705,0.45786081684181146,0.009800855695157137,8
0.39216148853302,0.008685207909969923,0.04723560810089111,0.003353050376295199,1.0,l2,False,"{'vectorizer__max_df': 1.0, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.45333333333333337,0.4819557625145518,0.4590542099192618,0.4618834080717489,0.4486187845303868,0.45404208194905865,0.4525862068965517,0.4537444933920705,0.45815228507587047,0.009764436987895588,5
0.3950769305229187,0.009936958368487998,0.04822239279747009,0.0035555747991967744,1.0,,True,"{'vectorizer__max_df': 1.0, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.46735395189003437,0.4707259953161592,0.4475201845444059,0.4757396449704142,0.44724770642201833,0.4328523862375138,0.44245810055865914,0.43811610076670315,0.45275175883823854,0.015159778231270895,13
0.38210928440093994,0.022638944875111627,0.04342195391654968,0.006576869326387181,1.0,,False,"{'vectorizer__max_df': 1.0, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.46453089244851264,0.466588511137163,0.4454649827784156,0.4757396449704142,0.4459770114942529,0.43381535038932145,0.44222222222222224,0.43811610076670315,0.45155683952587566,0.014273574599202045,16
