mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__splitter,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.5732722282409668,0.012932153727088377,0.060662925243377686,0.005757255983962087,5,2,5,best,0.3,l1,True,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.25874125874125875,0.31152647975077885,0.260047281323877,0.3157894736842105,0.2684563758389262,0.3450479233226837,0.27062706270627057,0.30716723549488056,0.2921753863578608,0.029852404375842516,562
0.5771209299564362,0.018647387039001435,0.05927819013595581,0.0013313575826238025,5,2,5,best,0.3,l1,False,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.2569444444444444,0.31152647975077885,0.2619047619047619,0.3102310231023102,0.26143790849673204,0.3450479233226837,0.27062706270627057,0.30716723549488056,0.29061085490285776,0.030140923676015743,618
0.5854138433933258,0.01258668151655114,0.061887502670288086,0.0015520329374463222,5,2,5,best,0.3,l2,True,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.25874125874125875,0.31055900621118016,0.27184466019417475,0.31249999999999994,0.2649006622516556,0.34838709677419355,0.27631578947368424,0.2711864406779661,0.2893043642905141,0.02918050331520922,635
0.5870067477226257,0.02181370492571567,0.060451507568359375,0.0013541305068675918,5,2,5,best,0.3,l2,False,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.2596491228070175,0.31055900621118016,0.2727272727272727,0.31249999999999994,0.2649006622516556,0.3495145631067961,0.27631578947368424,0.27424749163879597,0.2900517385270503,0.029059816090711982,626
0.5779813528060913,0.014934234477855699,0.06239598989486694,0.004613537424004174,5,2,5,best,0.3,,True,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.26241134751773054,0.32573289902280134,0.2727272727272727,0.3137254901960784,0.2649006622516556,0.35668789808917195,0.27631578947368424,0.27424749163879597,0.29334360636464885,0.03225374750905932,537
0.5747026205062866,0.008862034025953654,0.05960729718208313,0.0015337871413834711,5,2,5,best,0.3,,False,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.26241134751773054,0.32573289902280134,0.2727272727272727,0.3137254901960784,0.2649006622516556,0.35668789808917195,0.27631578947368424,0.27424749163879597,0.29334360636464885,0.03225374750905932,537
0.5681180953979492,0.011422764514615023,0.062099963426589966,0.004038580565465359,5,2,5,best,0.6,l1,True,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.6, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.23514211886304906,0.24005891016200293,0.20705521472392638,0.21783741120757696,0.20251396648044695,0.23006134969325154,0.20253164556962025,0.2052002810962755,0.2175501122245187,0.014521705770202275,959
0.5749059319496155,0.01674992301491618,0.059899598360061646,0.002004581961049153,5,2,5,best,0.6,l1,False,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.6, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.23134328358208955,0.24005891016200293,0.2072141212586339,0.21766561514195581,0.20251396648044695,0.23059185242121447,0.213668499607227,0.2052002810962755,0.21853206621873078,0.01303738688008703,913
0.5764650702476501,0.02438359470379869,0.06204867362976074,0.005100879390706956,5,2,5,best,0.6,l2,True,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.6, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.2292307692307692,0.2376383763837638,0.20583717357910908,0.21852731591448935,0.20950965824665677,0.23148148148148148,0.21383647798742136,0.2063157894736842,0.2190471302871719,0.01150504506517492,889
0.578462690114975,0.012729044565809308,0.05975055694580078,0.0018705789247660703,5,2,5,best,0.6,l2,False,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.6, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.22786759045419555,0.2376383763837638,0.20652173913043478,0.21763304209690226,0.20997766195085632,0.23094688221709003,0.213668499607227,0.2063157894736842,0.21882119766426927,0.011162368209848735,897
