mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__penalty,param_estimator__solver,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.6146853864192963,0.030832527351569952,0.060162633657455444,0.004329348839909934,100,l2,newton-cg,0.25,l1,True,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.488943488943489,0.48354430379746843,0.48805031446540886,0.4968632371392722,0.5065274151436031,0.4879898862199747,0.48267622461170845,0.4864864864864864,0.4901351696009264,0.007388587754968045,283
0.609100878238678,0.017797000252747684,0.058290839195251465,0.0021479731816861193,100,l2,newton-cg,0.25,l1,False,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4858895705521472,0.48477157360406087,0.4886649874055416,0.49811320754716987,0.5098554533508541,0.48484848484848475,0.4797136038186158,0.4858199753390875,0.48970960705824523,0.009050024394717438,288
0.6336993277072906,0.01477460219386198,0.060200631618499756,0.005542551129263636,100,l2,newton-cg,0.25,l2,True,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.48574969021065667,0.48837209302325574,0.4929032258064516,0.5006518904823989,0.5146666666666667,0.48837209302325574,0.47677261613691924,0.4784217016029592,0.4907387471190705,0.011501934240143554,265
0.6206550598144531,0.021068591035985164,0.05607408285140991,0.0012471780573601956,100,l2,newton-cg,0.25,l2,False,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.4918444165621079,0.4909090909090909,0.49674902470741217,0.5026178010471204,0.5167336010709506,0.49286640726329445,0.480295566502463,0.4796044499381953,0.4939525447500793,0.011231378387724202,206
0.7005705535411835,0.043634013255699045,0.05850687623023987,0.006112913519540258,100,l2,newton-cg,0.25,,True,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.4460260972716488,0.4397163120567376,0.36557059961315275,0.473551637279597,0.38170974155069587,0.43325526932084313,0.4651162790697674,0.44954128440366975,0.43181090257076404,0.035934769033665034,830
0.697668045759201,0.035752925479470336,0.05748054385185242,0.004548439504077844,100,l2,newton-cg,0.25,,False,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.4476190476190476,0.4410011918951133,0.36627906976744184,0.47655259822560203,0.3785926660059465,0.4363207547169812,0.46173800259403364,0.44724770642201833,0.431918879655773,0.03642964406625625,829
0.6215460002422333,0.020707631748749924,0.060896217823028564,0.006795541099737246,100,l2,newton-cg,0.5,l1,True,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.4799025578562729,0.47761194029850745,0.4711656441717791,0.49811320754716987,0.4786967418546365,0.48009950248756217,0.4799054373522459,0.48107448107448103,0.4808211890803319,0.007153001789657475,406
0.6516043841838837,0.020950858673129572,0.061635494232177734,0.006038057594865538,100,l2,newton-cg,0.5,l1,False,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4822521419828641,0.48,0.4711656441717791,0.49811320754716987,0.48423707440100894,0.48069738480697377,0.47810650887573963,0.4793187347931873,0.4817363370723403,0.0071552071824959535,378
0.6623421609401703,0.03176793358119971,0.06583806872367859,0.008673765676834266,100,l2,newton-cg,0.5,l2,True,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4943538268506901,0.49027237354085607,0.48354430379746843,0.5,0.5019815059445178,0.49095607235142114,0.4852216748768472,0.484394506866417,0.49134053302852726,0.006567479367489652,244
0.6159351170063019,0.01703827458228952,0.06890466809272766,0.00597643396577818,100,l2,newton-cg,0.5,l2,False,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.4962025316455697,0.49159120310478654,0.48415716096324457,0.5026178010471204,0.5046480743691899,0.49032258064516127,0.48702101359703337,0.48743718592964824,0.49299969391271925,0.007004268393230714,211
