mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__alpha,param_estimator__loss,param_estimator__tol,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.5252329409122467,0.02083213621490484,0.054021626710891724,0.003810407923089374,1e-06,hinge,0.1,0.25,l1,True,"{'estimator__alpha': 1e-06, 'estimator__loss': 'hinge', 'estimator__tol': 0.1, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.46592317224287483,0.42567567567567566,0.47769028871391084,0.45589919816723945,0.4942381562099872,0.4444444444444445,0.42175360710321863,0.4426966292134831,0.45354014647135427,0.02341363998504109,1261
0.512629896402359,0.013185895488478823,0.055586159229278564,0.0042606769948772705,1e-06,hinge,0.1,0.25,l1,False,"{'estimator__alpha': 1e-06, 'estimator__loss': 'hinge', 'estimator__tol': 0.1, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.41932168550873583,0.45169082125603865,0.4624846248462485,0.48284313725490197,0.4519906323185011,0.43287037037037035,0.4396355353075171,0.46153846153846156,0.45029690855009685,0.018424831046225842,1334
0.5109820663928986,0.01591318311773652,0.05461353063583374,0.003916981739830334,1e-06,hinge,0.1,0.25,l2,True,"{'estimator__alpha': 1e-06, 'estimator__loss': 'hinge', 'estimator__tol': 0.1, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4501758499413833,0.4232081911262799,0.4366197183098592,0.48711340206185566,0.4405997693194924,0.4494117647058824,0.4258639910813823,0.4369158878504673,0.4437385717995753,0.018718559996153742,1501
0.5283419191837311,0.017573502675257837,0.05459541082382202,0.0032085768301440658,1e-06,hinge,0.1,0.25,l2,False,"{'estimator__alpha': 1e-06, 'estimator__loss': 'hinge', 'estimator__tol': 0.1, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.4533648170011806,0.4398148148148148,0.4476534296028881,0.49499999999999994,0.4326160815402038,0.4547619047619047,0.449359720605355,0.45788849347568206,0.45380740772525363,0.017382139539061914,1259
0.5151318311691284,0.015606823322176226,0.05656972527503967,0.0042612298154899066,1e-06,hinge,0.1,0.25,,True,"{'estimator__alpha': 1e-06, 'estimator__loss': 'hinge', 'estimator__tol': 0.1, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.4166666666666667,0.4316384180790961,0.41505131128848344,0.44912280701754387,0.4288990825688073,0.4334085778781039,0.38075742067553736,0.41830065359477125,0.42173061722112626,0.01869853753917803,2753
0.5127692520618439,0.022289015236577028,0.05629169940948486,0.00061433641948639,1e-06,hinge,0.1,0.25,,False,"{'estimator__alpha': 1e-06, 'estimator__loss': 'hinge', 'estimator__tol': 0.1, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.41621029572836804,0.42294713160854897,0.415929203539823,0.434881087202718,0.45,0.41629955947136565,0.3962460896767467,0.41151385927505324,0.42050340331282793,0.015037429818337526,2848
0.5683644115924835,0.1369536050875362,0.06420662999153137,0.017225506967549115,1e-06,hinge,0.1,0.5,l1,True,"{'estimator__alpha': 1e-06, 'estimator__loss': 'hinge', 'estimator__tol': 0.1, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.45917159763313603,0.4434072345390899,0.4351851851851852,0.4405670665212649,0.4744069912609239,0.40250260688216893,0.45116279069767434,0.4265193370165745,0.44161535121700224,0.02024234497783301,1580
1.0321707427501678,0.1546803186695942,0.12446767091751099,0.03764375858353776,1e-06,hinge,0.1,0.5,l1,False,"{'estimator__alpha': 1e-06, 'estimator__loss': 'hinge', 'estimator__tol': 0.1, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4662576687116564,0.45023696682464454,0.4890710382513661,0.4754901960784314,0.47222222222222227,0.42464246424642466,0.45221445221445217,0.48711340206185566,0.46465605132638166,0.020128976435480412,1040
0.9792346358299255,0.08981268957014972,0.09944599866867065,0.031239024308598075,1e-06,hinge,0.1,0.5,l2,True,"{'estimator__alpha': 1e-06, 'estimator__loss': 'hinge', 'estimator__tol': 0.1, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.45707376058041116,0.4301801801801802,0.42588235294117643,0.47218788627935726,0.41170097508125675,0.4510532837670385,0.42840778923253153,0.436241610738255,0.4390909798500259,0.0183310335766404,1645
0.9998067617416382,0.22051999684878829,0.10830959677696228,0.017895750599683,1e-06,hinge,0.1,0.5,l2,False,"{'estimator__alpha': 1e-06, 'estimator__loss': 'hinge', 'estimator__tol': 0.1, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.46289308176100635,0.43498817966903075,0.4484848484848485,0.4387990762124711,0.4384525205158265,0.396551724137931,0.4462616822429906,0.4434072345390899,0.43872979344539936,0.017856036407985606,1652
