mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__criterion,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__n_estimators,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
1.1725790798664093,0.04159903471945597,0.12227198481559753,0.005019630979318993,gini,5,2,5,100,0.25,l1,True,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.4228571428571429,0.5021276595744681,0.4086378737541528,0.4562043795620438,0.4770642201834863,0.4013266998341625,0.4588045234248788,0.5027322404371585,0.4537193424534367,0.037169292283860615,2395
1.156739503145218,0.03700857201916501,0.1207604706287384,0.005388563122326039,gini,5,2,5,100,0.25,l1,False,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.42205323193916355,0.45841784989858014,0.41059602649006627,0.4553734061930783,0.48224299065420567,0.4013266998341625,0.46278317152103554,0.4946619217081851,0.44843191227980966,0.031584321252458615,2416
1.0624304711818695,0.044355622826245104,0.11496925354003906,0.005070801741043513,gini,5,2,5,100,0.25,l2,True,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.44364937388193204,0.461864406779661,0.47517730496453897,0.48330058939096265,0.4705882352941177,0.42244224422442245,0.4659606656580938,0.49640287769784175,0.4649232122364463,0.021603175908179936,2297
1.0765903294086456,0.047634385764495565,0.10587352514266968,0.014952366050392395,gini,5,2,5,100,0.25,l2,False,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.4424131627056673,0.4791666666666667,0.46869409660107336,0.47731755424063116,0.468013468013468,0.42671009771986973,0.4639016897081413,0.5027124773960218,0.4661161516314424,0.02169359537626215,2291
1.0014075934886932,0.06443830853773919,0.09591275453567505,0.01995576638814246,gini,5,2,5,100,0.25,,True,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.46286701208980996,0.48484848484848486,0.494949494949495,0.5205992509363295,0.45794392523364486,0.44285714285714284,0.4877250409165303,0.5202952029520295,0.4840106943479333,0.026480158165156024,2044
1.0142957866191864,0.07499116798240535,0.11980515718460083,0.013578304999159485,gini,5,2,5,100,0.25,,False,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.46286701208980996,0.48484848484848486,0.494949494949495,0.5205992509363295,0.45794392523364486,0.44285714285714284,0.4877250409165303,0.5202952029520295,0.4840106943479333,0.026480158165156024,2044
0.9822344183921814,0.07037312303367235,0.11460438370704651,0.0054461382009569955,gini,5,2,5,100,0.5,l1,True,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.402457757296467,0.46181172291296635,0.4806201550387597,0.4763636363636364,0.4562607204116638,0.49650349650349657,0.47058823529411764,0.49411764705882355,0.4673404213599914,0.027836372730849646,2272
1.0296259820461273,0.09617724465122234,0.11435693502426147,0.0034577764880393946,gini,5,2,5,100,0.5,l1,False,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4012251148545176,0.4701754385964912,0.4881889763779527,0.4817518248175182,0.46286701208980996,0.4991212653778559,0.4575645756457565,0.4924623115577889,0.46916956491471135,0.029050743767095447,2263
1.0452201664447784,0.056022332791948314,0.11407890915870667,0.004441613150612958,gini,5,2,5,100,0.5,l2,True,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4325153374233129,0.5149911816578483,0.5128205128205129,0.4466666666666667,0.4486571879936809,0.5016835016835017,0.4915824915824915,0.48370497427101206,0.47907773176237833,0.030127013568513463,2159
1.0633537769317627,0.03913796689961655,0.11734724044799805,0.006443335494568283,gini,5,2,5,100,0.5,l2,False,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.43010752688172044,0.513089005235602,0.5088062622309197,0.44844517184942717,0.45696400625978095,0.49501661129568103,0.5026548672566372,0.4827586206896552,0.47973025896242794,0.02890950450063973,2152
