mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__alpha,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.4922066032886505,0.013730877444706725,0.06262904405593872,0.008222645914210897,0.0001,0.25,l1,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.4176285414480588,0.4213903743315508,0.4144527098831031,0.4281081081081082,0.39957939011566773,0.40454076367389064,0.39671120246659813,0.39878542510121456,0.41014956439102396,0.011046706082635515,115
0.4839474856853485,0.012937198871254349,0.0603216290473938,0.00760229339067859,0.0001,0.25,l1,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.41422594142259417,0.42127659574468085,0.41226215644820297,0.4259459459459459,0.39874081846799575,0.40287769784172656,0.39549180327868855,0.4016227180527383,0.40905545965032164,0.010340674943871676,119
0.47650018334388733,0.011838230631470952,0.058731138706207275,0.0014689895918694037,0.0001,0.25,l2,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4203821656050955,0.4233261339092872,0.42299349240780915,0.4281009879253567,0.4086021505376343,0.4050104384133612,0.40168243953732913,0.40287769784172656,0.4141219382722,0.009954192103814857,103
0.47505131363868713,0.0131980800613303,0.05838826298713684,0.0016000736875475664,0.0001,0.25,l2,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.4194915254237288,0.42286947141316067,0.4199134199134199,0.42450765864332607,0.4086021505376343,0.40376569037656906,0.4008394543546695,0.40287769784172656,0.41285838356302934,0.009182598586603306,107
0.47814810276031494,0.012695295194962554,0.05948019027709961,0.004189278978471262,0.0001,0.25,,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.41613588110403404,0.42015005359056806,0.4199134199134199,0.42391304347826086,0.40557939914163094,0.4041884816753927,0.3962264150943396,0.4020725388601036,0.4110224041072187,0.009552686501834287,111
0.48754963278770447,0.008597259613566924,0.05956968665122986,0.000928620716040571,0.0001,0.25,,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.4139387539598733,0.41657810839532405,0.41505376344086026,0.4221980413492928,0.40386680988184753,0.4025157232704402,0.3958115183246073,0.40041279669762636,0.40879693941498396,0.008720644263230791,123
0.503997415304184,0.017296001544369957,0.05982568860054016,0.002387723879684609,0.0001,0.5,l1,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.4103092783505155,0.41860465116279066,0.4113924050632912,0.41816261879619854,0.39874081846799575,0.4004044489383216,0.39390862944162436,0.392079207920792,0.4054502572676912,0.009849062803785173,127
0.4979410171508789,0.01368900592568914,0.06172177195549011,0.0047495535800680415,0.0001,0.5,l1,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.40740740740740744,0.41509433962264153,0.4100946372239748,0.4172813487881981,0.3970741901776385,0.39959636730575177,0.39311043566362724,0.3924677898909812,0.4040158145100276,0.009132120021347102,130
0.4999251663684845,0.016999368997120984,0.06279125809669495,0.004044504220672543,0.0001,0.5,l2,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.41816261879619854,0.42320085929108486,0.416221985058698,0.421505376344086,0.4004214963119073,0.4033092037228542,0.40208333333333335,0.39717741935483875,0.41026028652662516,0.009842779683320521,112
0.5115416049957275,0.008427692244957286,0.06391790509223938,0.0030752748043290533,0.0001,0.5,l2,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.416403785488959,0.4227467811158798,0.415335463258786,0.41800643086816724,0.4004214963119073,0.40372670807453415,0.40208333333333335,0.3975782038345106,0.4095377752857597,0.008961210457568715,116
0.5203350186347961,0.01129647611478894,0.060221582651138306,0.002409876503562551,0.0001,0.5,,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.4151738672286618,0.41702127659574467,0.41541755888650966,0.4198062432723359,0.4042553191489362,0.40208333333333335,0.39874739039665974,0.39918116683725696,0.40896076946242976,0.008156921299862478,120
0.5197517275810242,0.01634599300374545,0.06187450885772705,0.004679181411300678,0.0001,0.5,,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.41386554621848737,0.4143763213530655,0.4110756123535676,0.41810344827586204,0.40170031880977686,0.4,0.395010395010395,0.3983656792645557,0.40656216516071375,0.008179992126895054,124
