mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__alpha,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.7841674387454987,0.022307327279127633,0.0872197151184082,0.004155160600585532,0.0001,0.25,l1,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.4411473788328387,0.3974820143884892,0.42745098039215684,0.4164332399626517,0.4059590316573557,0.42213883677298314,0.41537053979871913,0.41618497109826585,0.4177708741129325,0.012351457088750168,113
0.804743617773056,0.05616681590272425,0.09024253487586975,0.010177375611216037,0.0001,0.25,l1,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.43811394891944994,0.3974820143884892,0.42787046123650635,0.4126984126984127,0.4040778498609824,0.4225352112676057,0.41537053979871913,0.41346153846153844,0.41645124707896297,0.012113053509355865,114
0.7783375382423401,0.0441220226789866,0.07850077748298645,0.006926013695279026,0.0001,0.25,l2,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4398009950248757,0.40145985401459855,0.4311377245508982,0.4201520912547528,0.420443587270974,0.42816365366317793,0.4203703703703704,0.4144672531769306,0.4219994411658222,0.010755793843730491,96
0.7749660611152649,0.07097474856859019,0.07090052962303162,0.014104308751587299,0.0001,0.25,l2,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.437375745526839,0.4010938924339107,0.43199999999999994,0.4174573055028463,0.42003853564547206,0.4265402843601896,0.42183163737280305,0.4167478091528725,0.42163565124936664,0.010278182818615865,98
0.6559247076511383,0.05728665365660863,0.06473514437675476,0.012268527019113188,0.0001,0.25,,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.4291338582677165,0.4018264840182649,0.4311377245508982,0.42226487523992323,0.41279069767441856,0.430622009569378,0.421731123388582,0.415686274509804,0.4206491309023732,0.009525740087355032,99
0.6762387156486511,0.06771364789626752,0.06665214896202087,0.016926494126732174,0.0001,0.25,,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.42703232125367285,0.39963503649635035,0.42985074626865677,0.42024832855778416,0.4108003857280617,0.4297994269340974,0.42056932966023874,0.415609756097561,0.4191931663745529,0.009723273334008877,106
0.5756582617759705,0.0935357538849097,0.06205299496650696,0.011705598166193204,0.0001,0.5,l1,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.4223484848484848,0.3914968999114261,0.4188280499519692,0.4065934065934066,0.4040590405904059,0.41246562786434465,0.4119241192411924,0.40373831775700936,0.4089317433447799,0.00907981949242634,127
0.5493625700473785,0.048468646958617745,0.05769941210746765,0.014236214034922581,0.0001,0.5,l1,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.42075471698113215,0.39011473962930276,0.4196342637151107,0.40476190476190477,0.40146654445462876,0.41208791208791207,0.4141048824593128,0.4007455731593663,0.40795881715608373,0.009859554336892196,130
0.5397648513317108,0.09916104058271083,0.05241808295249939,0.01079534458647159,0.0001,0.5,l2,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4310679611650485,0.3978494623655914,0.42519685039370075,0.40963855421686746,0.41634980988593157,0.4213483146067416,0.41979835013748856,0.4088291746641075,0.41625980967943466,0.00984613215305213,115
0.5502247512340546,0.09329046590301796,0.059403181076049805,0.011464847278376312,0.0001,0.5,l2,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.42898550724637685,0.3978494623655914,0.42519685039370075,0.40703052728954675,0.41595441595441596,0.42016806722689076,0.41750227894257064,0.41074856046065256,0.4154294587349682,0.009405477763120552,121
0.520688533782959,0.04790031180447,0.06052231788635254,0.015546784641260736,0.0001,0.5,,True,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.42622950819672134,0.3982062780269058,0.42507345739471103,0.4131455399061033,0.4110898661567877,0.4253308128544424,0.41903019213174747,0.4096618357487923,0.4159709363020264,0.009166897422581215,118
0.5207148790359497,0.11926655509131029,0.057798683643341064,0.01674159447569533,0.0001,0.5,,False,"{'estimator__alpha': 0.0001, 'vectorizer__max_df': 0.5, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.42500000000000004,0.3953488372093023,0.42300194931773877,0.41198501872659177,0.4095238095238096,0.42492917847025496,0.4182648401826484,0.41040462427745666,0.4148072822134753,0.009482525306468278,124
