mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__loss,param_estimator__tol,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.399348646402359,0.039106057331893596,0.05103194713592529,0.010260347153398297,0.01,hinge,0.01,0.25,l1,True,"{'estimator__C': 0.01, 'estimator__loss': 'hinge', 'estimator__tol': 0.01, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.3859649122807018,0.39999999999999997,0.4054054054054054,0.39473684210526316,0.38071065989847713,0.38618246235606735,0.407942238267148,0.4,0.39511781503913285,0.009282370540162656,1286
0.40350380539894104,0.029555529483870562,0.04509595036506653,0.002268599011452959,0.01,hinge,0.01,0.25,l1,False,"{'estimator__C': 0.01, 'estimator__loss': 'hinge', 'estimator__tol': 0.01, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.3873794916739702,0.39928379588182633,0.40431266846361186,0.39473684210526316,0.38135593220338987,0.38618246235606735,0.40831074977416437,0.4021447721179624,0.3954633393220319,0.009039040449523113,1281
0.4807092845439911,0.06051693553964919,0.0534195601940155,0.012764822121186355,0.01,hinge,0.01,0.25,l2,True,"{'estimator__C': 0.01, 'estimator__loss': 'hinge', 'estimator__tol': 0.01, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.3803888419273035,0.3883161512027491,0.39825327510917036,0.38158995815899577,0.3701883701883702,0.38192668371696503,0.3975694444444445,0.39205526770293614,0.3862859990563668,0.008964543784531301,1391
0.47523683309555054,0.0914622261736604,0.050647348165512085,0.01008194224042298,0.01,hinge,0.01,0.25,l2,False,"{'estimator__C': 0.01, 'estimator__loss': 'hinge', 'estimator__tol': 0.01, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.3803888419273035,0.3914163090128755,0.3958151700087184,0.38,0.3718263718263718,0.38290598290598293,0.3975694444444445,0.3927335640138408,0.3865819605174422,0.008515480334755141,1386
0.5145770311355591,0.10346795609057144,0.05349978804588318,0.008977910058490364,0.01,hinge,0.01,0.25,,True,"{'estimator__C': 0.01, 'estimator__loss': 'hinge', 'estimator__tol': 0.01, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.5048543689320389,0.5106382978723404,0.5078597339782346,0.4946745562130177,0.4880952380952381,0.4915824915824915,0.48541423570595094,0.49759615384615374,0.49758938452818324,0.00874275638602485,256
0.5406694114208221,0.10390811062623415,0.05791878700256348,0.01591438127713974,0.01,hinge,0.01,0.25,,False,"{'estimator__C': 0.01, 'estimator__loss': 'hinge', 'estimator__tol': 0.01, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.5115712545676006,0.5100354191263282,0.5103280680437424,0.4970273483947681,0.4857142857142857,0.4977375565610859,0.4859813084112149,0.49698431845597113,0.4994224449093746,0.009761269060256145,246
0.5544180572032928,0.09881226105734545,0.06086209416389465,0.01597648396455393,0.01,hinge,0.01,0.5,l1,True,"{'estimator__C': 0.01, 'estimator__loss': 'hinge', 'estimator__tol': 0.01, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.2772963604852686,0.27011494252873564,0.28765432098765437,0.2823667252489748,0.2865671641791045,0.2892613283674736,0.2782711663706334,0.28188701223063484,0.2816773775498099,0.005938800508385761,1596
0.563870906829834,0.07391165242049619,0.06578347086906433,0.014662193233016442,0.01,hinge,0.01,0.5,l1,False,"{'estimator__C': 0.01, 'estimator__loss': 'hinge', 'estimator__tol': 0.01, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.2772963604852686,0.2699597932222861,0.28800988875154515,0.28220140515222486,0.28673835125448033,0.2894409937888198,0.2797866034380557,0.28254524226503214,0.2819973297947141,0.0059819190940289665,1581
0.5147774517536163,0.06923610578275667,0.06247469782829285,0.015020802142755241,0.01,hinge,0.01,0.5,l2,True,"{'estimator__C': 0.01, 'estimator__loss': 'hinge', 'estimator__tol': 0.01, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.2670360110803324,0.2609649122807018,0.2727272727272727,0.2660850599781897,0.26756604834176506,0.2727272727272727,0.26674169949352844,0.26784726065301606,0.26771194216025984,0.0035340148730008255,1626
0.47898179292678833,0.04858570776179401,0.05031260848045349,0.005475948286400259,0.01,hinge,0.01,0.5,l2,False,"{'estimator__C': 0.01, 'estimator__loss': 'hinge', 'estimator__tol': 0.01, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.26674045379081346,0.26153846153846155,0.2724137931034483,0.26623022367703214,0.268690275435638,0.2736720554272517,0.2676453980801807,0.26829268292682923,0.2681529179974569,0.0035111365892843416,1611
