mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__penalty,param_estimator__solver,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.5483182072639465,0.05591790063647187,0.07310646772384644,0.013519472056448475,100,l2,newton-cg,0.25,l1,True,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.49082568807339455,0.4945770065075922,0.5082352941176471,0.4911504424778761,0.48928974069898534,0.492972972972973,0.49776785714285715,0.48919226393629117,0.4942514082409521,0.005928949330197142,265
0.6167354583740234,0.10771366086285837,0.06400454044342041,0.010100104492462673,100,l2,newton-cg,0.25,l1,False,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4936562860438293,0.49565217391304356,0.5118483412322274,0.49278579356270813,0.4881889763779527,0.492972972972973,0.5011185682326621,0.4919908466819223,0.4960267448771648,0.006888008895436812,199
0.7915267944335938,0.11970389350604412,0.07397675514221191,0.013997310080608314,100,l2,newton-cg,0.25,l2,True,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4976635514018692,0.5072951739618407,0.5066344993968637,0.4885321100917431,0.4874715261958998,0.49779735682819376,0.49379932356257045,0.4840182648401826,0.49540147578489535,0.008067796915263258,217
0.77554851770401,0.09086244031427258,0.08267214894294739,0.007164216364490621,100,l2,newton-cg,0.25,l2,False,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.49824561403508777,0.509009009009009,0.5097087378640777,0.4890929965556831,0.4851936218678815,0.49944751381215474,0.49493813273340825,0.4879171461449942,0.49669409650278706,0.008668782908430551,191
0.9648003876209259,0.11036284348944052,0.07576987147331238,0.01254457992246358,100,l2,newton-cg,0.25,,True,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.44979079497907953,0.4380574826560952,0.4693218514531755,0.44608879492600423,0.3790035587188612,0.45115810674723067,0.4444444444444444,0.4130019120458891,0.4363583682463475,0.02618230465494957,738
0.9647256433963776,0.1653114814431738,0.06254047155380249,0.015254880518068758,100,l2,newton-cg,0.25,,False,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.4488517745302713,0.4380574826560952,0.4709677419354838,0.44656084656084655,0.3790035587188612,0.4525252525252525,0.4394250513347022,0.41578440808469685,0.4363970145432762,0.026087579080124268,737
0.7642839252948761,0.08491323121959299,0.06744760274887085,0.017974701311236813,100,l2,newton-cg,0.5,l1,True,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.48206278026905824,0.48326359832635984,0.5017421602787457,0.49227373068432667,0.4828349944629015,0.4897518878101403,0.4955947136563877,0.48206278026905824,0.48869833071962226,0.0069243333834228624,363
0.893895149230957,0.04491786547516577,0.07230418920516968,0.012674415754709288,100,l2,newton-cg,0.5,l1,False,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4837625979843225,0.484784889821616,0.5046728971962616,0.4939091915836102,0.48390677025527196,0.4924406047516199,0.49393605292172,0.48478015783540024,0.49027414529372776,0.0069092353865341976,315
0.8379271924495697,0.07778183695600703,0.0696553885936737,0.016483703459794496,100,l2,newton-cg,0.5,l2,True,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4999999999999999,0.5011037527593819,0.5120192307692307,0.48965517241379314,0.4790960451977402,0.49944751381215474,0.491544532130778,0.4829931972789116,0.49448243054524876,0.01004461234796003,251
0.7846558094024658,0.09240311290693623,0.06709036231040955,0.019957158698894823,100,l2,newton-cg,0.5,l2,False,"{'estimator__C': 100, 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.49882903981264637,0.5055432372505544,0.5114595898673101,0.4913494809688581,0.4796380090497737,0.4983388704318937,0.49206349206349204,0.48244620611551525,0.49495849069500547,0.010145267632602128,222
