mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__splitter,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.5567030310630798,0.1281572438236879,0.05710980296134949,0.013871807293265304,5,2,5,best,0.3,l1,True,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.3215859030837005,0.26865671641791045,0.29411764705882354,0.24074074074074073,0.2584745762711865,0.3049853372434017,0.26627218934911245,0.2545454545454545,0.27617232058879126,0.025993853575916697,712
0.587257593870163,0.13512625411806212,0.06201225519180298,0.014245721641245776,5,2,5,best,0.3,l1,False,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.2917933130699088,0.27108433734939763,0.29411764705882354,0.24074074074074073,0.2606837606837607,0.3049853372434017,0.26627218934911245,0.2545454545454545,0.273027847505075,0.02062780961008842,763
0.6013116836547852,0.10782197424225136,0.055656641721725464,0.010299778396327161,5,2,5,best,0.3,l2,True,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.2926829268292683,0.2611275964391691,0.2890855457227139,0.24074074074074073,0.25263157894736843,0.3076923076923077,0.26627218934911245,0.25609756097560976,0.2707913058370363,0.021616354326960314,806
0.6766943335533142,0.08307506234946017,0.06479623913764954,0.01211675460047417,5,2,5,best,0.3,l2,False,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.2926829268292683,0.25958702064896755,0.2890855457227139,0.24074074074074073,0.2569593147751606,0.3086053412462908,0.26627218934911245,0.25609756097560976,0.271253830035983,0.02150097999313031,798
0.7177549302577972,0.08278324943202679,0.06413248181343079,0.012632914651099553,5,2,5,best,0.3,,True,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.2917933130699088,0.2619047619047619,0.2958579881656805,0.24074074074074073,0.2603036876355748,0.3076923076923077,0.26785714285714285,0.2515337423312884,0.2722104605496757,0.02204102746495538,784
0.6981400847434998,0.0997770627864264,0.07456520199775696,0.008169854631574958,5,2,5,best,0.3,,False,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.3, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.2917933130699088,0.2619047619047619,0.2958579881656805,0.24074074074074073,0.2603036876355748,0.3076923076923077,0.26785714285714285,0.2515337423312884,0.2722104605496757,0.02204102746495538,784
0.6990885734558105,0.10247956849178863,0.05433729290962219,0.012153817526553212,5,2,5,best,0.6,l1,True,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.6, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.22541277817659724,0.20927152317880798,0.20971147079521463,0.22662116040955632,0.20941672522839075,0.2105263157894737,0.22611036339165544,0.2307176391683434,0.21847349701725494,0.008869970529412078,965
0.6735970079898834,0.07693627850986205,0.06674268841743469,0.011417471137492616,5,2,5,best,0.6,l1,False,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.6, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.22541277817659724,0.20717131474103587,0.21030345800988,0.22662116040955632,0.26124197002141325,0.21038062283737022,0.22611036339165544,0.2307176391683434,0.22474491334448146,0.01619127559053681,883
0.6393369734287262,0.07596542614093543,0.07116788625717163,0.01155949172077129,5,2,5,best,0.6,l2,True,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.6, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.22573687994248742,0.21343873517786563,0.21007806955287436,0.2255639097744361,0.2090395480225989,0.2216142270861833,0.22477995937711578,0.22860962566844917,0.21985761932525133,0.007287939589626836,951
0.6394265592098236,0.08005246440392853,0.06604301929473877,0.014539256239382937,5,2,5,best,0.6,l2,False,"{'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__splitter': 'best', 'vectorizer__max_df': 0.6, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.22573687994248742,0.21343873517786563,0.21082621082621084,0.22419685577580314,0.2084507042253521,0.2247956403269755,0.2259810554803789,0.23025435073627848,0.220460054061419,0.00769212201339209,935
