mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__criterion,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__n_estimators,param_vectorizer__max_df,param_vectorizer__norm,param_vectorizer__smooth_idf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.7983574867248535,0.09513274390779061,0.11797040700912476,0.01715389205621238,gini,5,2,5,100,0.25,l1,True,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.45521292217327464,0.5098684210526316,0.4669479606188467,0.5099337748344371,0.43843031123139375,0.5158069883527454,0.49602543720190784,0.5057471264367817,0.48724661773775235,0.027574239016224182,2200
1.0457811951637268,0.1415933119483182,0.13629478216171265,0.0033104853803007355,gini,5,2,5,100,0.25,l1,False,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.455988455988456,0.5098684210526316,0.4677871148459384,0.506578947368421,0.42894736842105263,0.5210084033613446,0.5031847133757962,0.5016181229773463,0.48687269342387335,0.03008183634390266,2207
1.0803219079971313,0.1431218084914079,0.13612955808639526,0.007203342481262191,gini,5,2,5,100,0.25,l2,True,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.48354792560801135,0.522875816993464,0.47175141242937846,0.535303776683087,0.43715846994535523,0.5182829888712241,0.4727272727272727,0.5243697478991597,0.4957521763946191,0.03223928679987775,2085
1.1999363005161285,0.05101258324745895,0.1314043402671814,0.006425174437953759,gini,5,2,5,100,0.25,l2,False,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.48216833095577744,0.5210355987055016,0.4475138121546961,0.5337726523887975,0.4359673024523161,0.517684887459807,0.4668674698795181,0.5261382799325464,0.49139354174112004,0.035807128545392176,2128
1.2167735993862152,0.0739312969718794,0.13311725854873657,0.010503672002529083,gini,5,2,5,100,0.25,,True,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': True}",0.5038167938931297,0.5060240963855421,0.45961002785515326,0.5416666666666666,0.45961002785515315,0.5753899480069324,0.5132743362831858,0.48264984227129337,0.5052552174021321,0.0370634763305261,1935
1.2649399042129517,0.06786225775598619,0.13568100333213806,0.0064394413781986865,gini,5,2,5,100,0.25,,False,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.25, 'vectorizer__norm': None, 'vectorizer__smooth_idf': False}",0.5038167938931297,0.5060240963855421,0.45961002785515326,0.5416666666666666,0.45961002785515315,0.5753899480069324,0.5132743362831858,0.48264984227129337,0.5052552174021321,0.0370634763305261,1935
1.2398169338703156,0.05154055796689293,0.13194486498832703,0.003809058466906328,gini,5,2,5,100,0.5,l1,True,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': True}",0.4297994269340975,0.5083713850837138,0.511400651465798,0.5435435435435435,0.43956043956043955,0.43178410794602695,0.5025295109612142,0.47147147147147156,0.47980756712078815,0.04013876645631184,2263
1.2213011980056763,0.04625028261516152,0.13037323951721191,0.012035176217792746,gini,5,2,5,100,0.5,l1,False,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l1', 'vectorizer__smooth_idf': False}",0.4291845493562232,0.4992389649923896,0.5065359477124183,0.540785498489426,0.437414030261348,0.4330827067669173,0.4991624790619765,0.47447447447447444,0.4774848313893967,0.03826437935539557,2266
1.1791372895240784,0.04198683605221584,0.13343650102615356,0.010978242328101809,gini,5,2,5,100,0.5,l2,True,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': True}",0.4710860366713681,0.5045592705167173,0.5117004680187207,0.5333333333333334,0.4533715925394548,0.45179856115107914,0.5123966942148759,0.48108925869894104,0.48991690189306136,0.028063202329595905,2176
1.2036954462528229,0.054015473830850924,0.13251212239265442,0.007324363203922131,gini,5,2,5,100,0.5,l2,False,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100, 'vectorizer__max_df': 0.5, 'vectorizer__norm': 'l2', 'vectorizer__smooth_idf': False}",0.4680851063829787,0.5015015015015015,0.5181674565560821,0.5350500715307582,0.45934379457917257,0.4482758620689656,0.5107084019769358,0.487062404870624,0.4910243249333773,0.02860341263451126,2145
